The Pew Charitable Trusts
Read more about our sources and methodology: https://www.pewtrusts.org/en/research-and-analysis/data-visualizations/2014/fiscal-50/reserves-and-balances
Reserves and Balances: Reserves and Balances Data 

State/Region,Total balances: days 2000,Total balances: days 2001,Total balances: days 2002,Total balances: days 2003,Total balances: days 2004,Total balances: days 2005,Total balances: days 2006,Total balances: days 2007,Total balances: days 2008,Total balances: days 2009,Total balances: days 2010,Total balances: days 2011,Total balances: days 2012,Total balances: days 2013,Total balances: days 2014,Total balances: days 2015,Total balances: days 2016,Total balances: days 2017,Total balances: days 2018,Total balances: days 2019,Total balances: days 2020,Total balances: days 2021,Total balances: days 2022,Total balances: days 2023,Total balances: days 2024,Total balances: balances 2000,Total balances: balances 2001,Total balances: balances 2002,Total balances: balances 2003,Total balances: balances 2004,Total balances: balances 2005,Total balances: balances 2006,Total balances: balances 2007,Total balances: balances 2008,Total balances: balances 2009,Total balances: balances 2010,Total balances: balances 2011,Total balances: balances 2012,Total balances: balances 2013,Total balances: balances 2014,Total balances: balances 2015,Total balances: balances 2016,Total balances: balances 2017,Total balances: balances 2018,Total balances: balances 2019,Total balances: balances 2020,Total balances: balances 2021,Total balances: balances 2022,Total balances: balances 2023,Total balances: balances 2024,Total balances: % of state spending 2000,Total balances: % of state spending 2001,Total balances: % of state spending 2002,Total balances: % of state spending 2003,Total balances: % of state spending 2004,Total balances: % of state spending 2005,Total balances: % of state spending 2006,Total balances: % of state spending 2007,Total balances: % of state spending 2008,Total balances: % of state spending 2009,Total balances: % of state spending 2010,Total balances: % of state spending 2011,Total balances: % of state spending 2012,Total balances: % of state spending 2013,Total balances: % of state spending 2014,Total balances: % of state spending 2015,Total balances: % of state spending 2016,Total balances: % of state spending 2017,Total balances: % of state spending 2018,Total balances: % of state spending 2019,Total balances: % of state spending 2020,Total balances: % of state spending 2021,Total balances: % of state spending 2022,Total balances: % of state spending 2023,Total balances: % of state spending 2024,Rainy day funds: days 2000,Rainy day funds: days 2001,Rainy day funds: days 2002,Rainy day funds: days 2003,Rainy day funds: days 2004,Rainy day funds: days 2005,Rainy day funds: days 2006,Rainy day funds: days 2007,Rainy day funds: days 2008,Rainy day funds: days 2009,Rainy day funds: days 2010,Rainy day funds: days 2011,Rainy day funds: days 2012,Rainy day funds: days 2013,Rainy day funds: days 2014,Rainy day funds: days 2015,Rainy day funds: days 2016,Rainy day funds: days 2017,Rainy day funds: days 2018,Rainy day funds: days 2019,Rainy day funds: days 2020,Rainy day funds: days 2021,Rainy day funds: days 2022,Rainy day funds: days 2023,Rainy day funds: days 2024,Rainy day funds: balances 2000,Rainy day funds: balances 2001,Rainy day funds: balances 2002,Rainy day funds: balances 2003,Rainy day funds: balances 2004,Rainy day funds: balances 2005,Rainy day funds: balances 2006,Rainy day funds: balances 2007,Rainy day funds: balances 2008,Rainy day funds: balances 2009,Rainy day funds: balances 2010,Rainy day funds: balances 2011,Rainy day funds: balances 2012,Rainy day funds: balances 2013,Rainy day funds: balances 2014,Rainy day funds: balances 2015,Rainy day funds: balances 2016,Rainy day funds: balances 2017,Rainy day funds: balances 2018,Rainy day funds: balances 2019,Rainy day funds: balances 2020,Rainy day funds: balances 2021,Rainy day funds: balances 2022,Rainy day funds: balances 2023,Rainy day funds: balances 2024,Rainy day funds: % of state spending 2000,Rainy day funds: % of state spending 2001,Rainy day funds: % of state spending 2002,Rainy day funds: % of state spending 2003,Rainy day funds: % of state spending 2004,Rainy day funds: % of state spending 2005,Rainy day funds: % of state spending 2006,Rainy day funds: % of state spending 2007,Rainy day funds: % of state spending 2008,Rainy day funds: % of state spending 2009,Rainy day funds: % of state spending 2010,Rainy day funds: % of state spending 2011,Rainy day funds: % of state spending 2012,Rainy day funds: % of state spending 2013,Rainy day funds: % of state spending 2014,Rainy day funds: % of state spending 2015,Rainy day funds: % of state spending 2016,Rainy day funds: % of state spending 2017,Rainy day funds: % of state spending 2018,Rainy day funds: % of state spending 2019,Rainy day funds: % of state spending 2020,Rainy day funds: % of state spending 2021,Rainy day funds: % of state spending 2022,Rainy day funds: % of state spending 2023,Rainy day funds: % of state spending 2024
Alabama,7.250450589,5.202482351,19.20619718,12.03839056,29.99398184,49.51912749,71.73321097,54.54991344,19.79181181,13.40648756,3.519405107,2.514744252,3.560530265,15.50405505,3.103890895,29.43582687,33.42376718,40.94675543,60.49709174,76.91181149,70.12434764,112.7171679,166.2417282,141.5178771,153.313446,103600000,74300000,280200000,180500000,450600000,821000000,1368139036,1191400000,467000000,284100000,71900000,50700000,74100000,304300000,63600000,626588846,715015643.3,916096711,1376769665,1822575038,1788354784,3004700000,4852300000,5216000000,5245000000,0.019864248,0.014253376,0.052619718,0.032981892,0.082175293,0.135668842,0.196529345,0.149451818,0.054224142,0.036730103,0.009642206,0.00688971,0.009754877,0.042476863,0.008503811,0.080646101,0.091571965,0.112182892,0.165745457,0.210717292,0.1921215,0.308814159,0.45545679,0.387720211,0.420036838,0.174962611,0.525149632,17.89014085,4.535238548,6.922712186,9.469553003,21.95295554,30.97907624,10.51042683,8.432732585,0,0,0.69192491,0.733678583,0.546597139,19.34080059,24.78328119,34.24667828,34.43682121,35.79364204,37.96107946,44.42737775,48.95810845,53.69322828,78.30824057,2500000,7500000,261000000,68000000,104000000,157000000,418700000,676600000,248000000,178700000,0,0,14400000,14400000,11200000,411700000,530174640.3,766196711,783700000,848200000,968107089,1184300000,1429000000,1979000000,2679000000,0.00047935,0.001438766,0.049014085,0.012425311,0.018966335,0.025943981,0.060145084,0.084874181,0.02879569,0.023103377,0,0,0.001895685,0.002010078,0.001497526,0.052988495,0.067899401,0.093826516,0.094347455,0.098064773,0.104002957,0.121718843,0.134131804,0.147104735,0.214543125
Alaska,441.2534819,480.8437074,322.5929178,306.031374,343.3590617,272.7672112,254.8323171,199.9287881,374.2609746,474.2051779,493.8710359,1001.332116,945.2150384,765.9528775,777.4006555,633.7850871,473.9699516,376.6367638,205.9126551,170.8266001,104.7512852,83.44409214,219.7769109,165.6630972,176.2948621,2734200000,2994800000,2114000000,2092500000,2181600000,2282800000,2267100000,3015200000,5601200000,7447100000,8934330000,14950300000,18160300000,16332004000,15597000000,10442000000,7108900000,4641300000,2532500000,2288000000,1378900000,1059900000,3264500000,2755000000,2557000000,1.208913649,1.31738002,0.883816213,0.83844212,0.940709758,0.747307428,0.698170732,0.547750104,1.025372533,1.299192268,1.353071331,2.743375661,2.589630242,2.098501034,2.12986481,1.736397499,1.298547813,1.031881545,0.564144261,0.468018083,0.286989822,0.228613951,0.602128523,0.453871499,0.482999622,441.2534819,480.8437074,322.5929178,306.031374,339.1882627,271.7396144,254.8323171,199.9287881,374.2609746,566.5870274,572.8780857,869.4335364,826.5342165,765.9528775,777.4006555,633.772948,473.9699516,376.6367638,205.9126551,170.8266001,104.7512852,83.44409214,176.7775196,165.6630972,176.2948621,2734200000,2994800000,2114000000,2092500000,2155100000,2274200000,2267100000,3015200000,5601200000,8897900000,10363600000,12981000000,15880100000,16332004000,15597000000,10441800000,7108900000,4641300000,2532500000,2288000000,1378900000,1059900000,2625800000,2755000000,2557000000,1.208913649,1.31738002,0.883816213,0.83844212,0.929282911,0.744492094,0.698170732,0.547750104,1.025372533,1.552293226,1.569529002,2.382009689,2.264477305,2.098501034,2.12986481,1.736364241,1.298547813,1.031881545,0.564144261,0.468018083,0.286989822,0.228613951,0.484321971,0.453871499,0.482999622
Arizona,37.10526753,23.18826225,3.783248667,12.47842539,20.93908746,38.68964105,64.44237261,37.7486263,7.985693221,-19.93065773,-0.264981214,0.141407479,28.06544916,58.20905787,42.82871265,30.29262951,28.57042239,23.19588713,33.7670772,57.86577895,43.69959767,50.18864108,161.1725823,92.26298328,44.25392973,611200000,404740000,65700000,206000000,373800000,799770000,1548100000,1054950000,219600000,-478030000,-5700000,3243300,647443000,1349640000,1032700000,769300000,744600000,612346000,907400000,1700160000,1351000000,1869300000,5691600000,3962000000,2098000000,0.101658267,0.063529486,0.010365065,0.034187467,0.057367363,0.105999017,0.176554446,0.103420894,0.021878612,-0.054604542,-0.000725976,0.000387418,0.076891642,0.159476871,0.117338939,0.082993506,0.07827513,0.063550376,0.09251254,0.158536381,0.119724925,0.137503126,0.441568719,0.252775297,0.121243643,24.75708132,22.42971951,3.742940081,0.835933351,0.756227075,7.778854272,20.8799781,24.22467416,7.949328498,0.112571964,0,0,10.84136956,19.58502503,18.88245654,18.01885775,17.6809705,17.47974075,17.0361119,25.28700777,31.65067085,26.16961882,27.81356918,33.4168049,32.01976422,407800000,391500000,65000000,13800000,13500000,160800000,501600000,677000000,218600000,2700000,0,0,250100000,454100000,455300000,457600000,460800000,461446000,457800000,742960000,978500000,974700000,982200000,1435000000,1518000000,0.06782762,0.061451286,0.01025463,0.002290228,0.002071855,0.02131193,0.057205419,0.06636897,0.021778982,0.000308416,0,0,0.029702382,0.053657603,0.051732758,0.049366734,0.048441015,0.047889701,0.046674279,0.069279473,0.086714167,0.071697586,0.076201559,0.09155289,0.087725381
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.47514642,8.420767275,8.409434203,29.05856737,11.94524104,71.50154248,175.361246,163.0502988,162.1960658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177400000,123400000,126600000,447900000,188185000,1155700000,2810200000,2691000000,2756000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034178483,0.023070595,0.023039546,0.079612513,0.032726688,0.195894637,0.48044177,0.446713147,0.444372783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.420767275,8.409434203,9.893796658,11.74211767,12.99240626,75.6308555,92.70418327,148.0127378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123400000,126600000,152500000,184985000,210000000,1212000000,1530000000,2515000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023070595,0.023039546,0.027106292,0.032170185,0.035595634,0.207207823,0.253984064,0.40551435
California,50.16595482,14.20197071,-10.14511079,7.571613315,16.68226056,44.06125006,43.10388519,14.03702188,8.419911696,-23.49852761,-22.35312088,-12.27456633,-6.822410088,9.553825983,20.40101995,16.25143568,26.15893707,37.98821991,65.0281549,68.05722396,59.40192213,127.7150339,132.1757242,133.4797201,59.73684324,9139000000,3037000000,-2133300000,1607300000,3488800000,9633600000,10816300000,3900100000,2375700000,-5854700000,-5342500000,-3078700000,-1615014000,2527500000,5589600000,5051200000,8203500000,12415539000,22226463000,26176300000,23807200000,56729637000,80493200000,73167000000,37791000000,0.137440972,0.038909509,-0.027794824,0.020744146,0.045704823,0.120715754,0.118092836,0.038457594,0.023068251,-0.064379528,-0.061241427,-0.033628949,-0.018691534,0.026174866,0.055893205,0.044524481,0.071668321,0.104077315,0.178159328,0.186458148,0.162744992,0.349904203,0.362125272,0.365697863,0.163662584,47.56681054,7.312822458,0,0,0,41.67697734,40.13539466,10.85069961,0,0,0,0,0,5.945484823,16.85850707,13.1421968,23.03427779,34.42443091,60.97761953,59.80236418,51.47965312,118.0872962,125.1535625,114.1985256,43.03025447,8665500000,1563800000,0,0,0,9112300000,10071400000,3014800000,0,0,0,0,0,1572900000,4619000000,4084800000,7223600000,11250800000,20842000000,23001300000,20632100000,52453100000,76216800000,62598000000,27222000000,0.130320029,0.02003513,0,0,0,0.1141835,0.109959985,0.029727944,0,0,0,0,0,0.016289,0.046187691,0.036006019,0.06310761,0.094313509,0.167061971,0.163842094,0.141040146,0.323526839,0.342886473,0.312872673,0.117891108
Colorado,48.62565292,25.69304927,7.512714653,13.88295084,22.2254254,20.03296362,51.41944785,26.72778361,16.04255434,21.92927527,7.467391304,23.45026457,43.26776949,66.72935942,27.10845504,26.98067582,18.29247336,21.51438489,44.45535594,35.8327499,52.33764038,87.03844047,65.54919876,46.56473308,49.46068434,798300000,469500000,137600000,224900000,346400000,335500000,908800000,516000000,327000000,443750000,137400000,445600000,854900000,1446400000,650900000,709200000,512724678.4,614463794.4,1365993461,1262000000,1823300000,3178000000,3201800000,2428000000,2392000000,0.133220967,0.070391916,0.02058278,0.038035482,0.060891576,0.054884832,0.1408752,0.073226804,0.043952204,0.060080206,0.020458606,0.0642473,0.118541834,0.182820163,0.07426974,0.07391966,0.050116365,0.05894352,0.121795496,0.098171918,0.143390796,0.238461481,0.179586846,0.127574611,0.135508724,35.53577091,0,0,0,7.814829138,0,0,13.83007408,13.90845307,21.92927527,7.206521739,8.246536038,14.22689204,17.20827645,17.11301917,26.98067582,18.29247336,21.51438489,44.45535594,35.8327499,52.33764038,87.03844047,33.00593986,38.27973939,46.00753456,583400000,0,0,0,121800000,0,0,267000000,283500000,443750000,132600000,156700000,281100000,373000000,410900000,709200000,512724678.4,614463794.4,1365993461,1262000000,1823300000,3178000000,1612200000,1996000000,2225000000,0.097358276,0,0,0,0.021410491,0,0,0.037890614,0.038105351,0.060080206,0.019743895,0.022593249,0.038977786,0.047145963,0.046884984,0.07391966,0.050116365,0.05894352,0.121795496,0.098171918,0.143390796,0.238461481,0.090427232,0.104875998,0.12604804
Connecticut,18.86339479,18.15718373,0,0,8.7050161,17.74762576,27.90385646,32.67509589,30.90983737,30.01469704,0,4.827174024,1.82196664,5.1932649,11.1606596,8.507035138,4.789990873,4.383698037,23.15435541,47.4357031,58.56167028,56.63670841,58.33747029,54.35577312,60.37003853,564000000,594700000,0,0,302200000,666100000,1112500000,1381700000,1382000000,1382000000,0,237000000,93400000,270700000,519200000,406000000,235600000,212900000,1185300000,2505500000,3074600000,3112000000,3313400000,3316000000,3692000000,0.051680534,0.049745709,0,0,0.023849359,0.048623632,0.076448922,0.089520811,0.084684486,0.082232047,0,0.013225134,0.004991689,0.014228123,0.03057715,0.023306946,0.013123263,0.012010132,0.06343659,0.12996083,0.160442932,0.155169064,0.159828686,0.148919926,0.165397366,18.86339479,18.15718373,0,0,8.7050161,17.74762576,27.90385646,32.67509589,30.90312757,30.00857248,0,0,1.82196664,5.1932649,11.1606596,8.507035138,4.789990873,4.383698037,23.15435541,40.41931949,58.56167028,56.63670841,58.33747029,54.35577312,60.37003853,564000000,594700000,0,0,302200000,666100000,1112500000,1381700000,1381700000,1381718000,0,0,93400000,270700000,519200000,406000000,235600000,212900000,1185300000,2134902581,3074600000,3112000000,3313400000,3316000000,3692000000,0.051680534,0.049745709,0,0,0.023849359,0.048623632,0.076448922,0.089520811,0.084666103,0.082215267,0,0,0.004991689,0.014228123,0.03057715,0.023306946,0.013123263,0.012010132,0.06343659,0.110737862,0.160442932,0.155169064,0.159828686,0.148919926,0.165397366
Delaware,54.92876224,76.63647592,71.64941522,69.02591581,92.33269374,90.69712646,79.25451973,63.62385321,56.11117606,41.9215597,63.72224931,89.0320115,57.37543147,63.44225776,39.86715867,51.13199917,52.9728901,42.22479299,66.457104,78.70138589,77.57836904,148.1723978,188.0169636,189.3192288,164.2126789,338000000,510000000,481700000,464100000,646000000,701300000,690600000,590900000,526000000,378500000,537100000,797800000,564700000,635900000,414400000,536900000,568000000,475000000,749800000,947500000,959400000,1833400000,2605400000,3040000000,2860000000,0.15048976,0.209962948,0.196299768,0.189112098,0.252966284,0.248485278,0.21713567,0.174311927,0.153729249,0.114853588,0.174581505,0.243923319,0.157192963,0.173814405,0.109225092,0.140087669,0.145131206,0.115684364,0.182074258,0.215620235,0.212543477,0.405951775,0.515114969,0.518682819,0.449897751,18.52626892,18.93371758,19.03908065,19.18625973,19.50992677,19.16628282,18.4881308,18.88580784,19.50023381,20.64512214,22.11474078,20.80166325,18.93887095,19.84378844,19.4044544,20.23756719,20.02337941,19.65452996,20.5274277,19.96814055,20.40940207,20.39855634,20.22766365,19.67923563,18.89019978,114000000,126000000,128000000,129000000,136500000,148200000,161100000,175400000,182800000,186400000,186400000,186400000,186400000,198900000,201700000,212500000,214700000,221100000,231600000,240400000,252400000,252400000,280300000,316000000,329000000,0.050756901,0.051873199,0.052161865,0.052565095,0.053451854,0.052510364,0.050652413,0.051741939,0.053425298,0.056561978,0.060588331,0.056990858,0.051887318,0.054366544,0.053162889,0.05544539,0.054858574,0.053848027,0.056239528,0.054707234,0.05591617,0.055886456,0.055418257,0.053915714,0.051753972
Florida,42.41129993,25.15202787,36.66111007,29.20377213,58.31986895,68.08410871,85.01714455,60.41507776,21.94273412,13.96542397,31.78593978,15.73740168,31.41071467,53.17633324,47.54737311,47.9455503,40.59349535,34.89563614,35.1167284,43.59461905,88.01672026,155.7473958,244.378163,181.5806327,76.18627074,2155900000,1382700000,1925100000,1641300000,3423600000,4558800000,6059300000,4670400000,1665700000,905300000,1848200000,1025600000,2003100000,3600300000,3506000000,3679000000,3245500000,2898900000,3062400000,3972700000,7926400000,15476000000,25533300000,24392000000,12491000000,0.116195342,0.068909665,0.100441397,0.080010335,0.159780463,0.186531805,0.232923684,0.165520761,0.06011708,0.038261436,0.087084767,0.043116169,0.086056753,0.145688584,0.130266776,0.131357672,0.111215056,0.095604483,0.096210215,0.119437312,0.241141699,0.426705194,0.669529214,0.497481185,0.208729509,32.77585547,16.26232221,17.92016237,17.06177853,16.46229739,14.75842683,15.00319058,15.99892261,17.71542826,4.22526193,4.727818876,4.284206853,7.743303332,10.46452576,12.54051795,14.84630902,16.9315713,16.66477584,16.24309227,16.27377352,17.48030897,16.84881688,26.13063179,23.37500765,25.25107364,1666100000,894000000,941000000,958900000,966400000,988200000,1069300000,1236800000,1344800000,273900000,274900000,279200000,493800000,708500000,924700000,1139200000,1353700000,1384400000,1416500000,1483000000,1574200000,1674200000,2730200000,3140000000,4140000000,0.089796864,0.044554307,0.049096335,0.046744599,0.045102185,0.040434046,0.041104632,0.043832665,0.04853542,0.01157606,0.012952928,0.011737553,0.02121453,0.028669934,0.034357583,0.040674819,0.046387867,0.04565692,0.044501623,0.044585681,0.047891257,0.046161142,0.071590772,0.064041117,0.069181024
Georgia,66.44044,61.71423093,66.34757981,28.87974664,19.93114491,27.46371706,41.3409853,53.04769756,41.63654464,36.25217183,26.01168338,24.18802267,10.96118858,17.94738826,20.14194882,27.8287856,34.11437582,38.91043527,41.27046517,43.77157716,36.64531946,94.47594426,157.9594338,191.6896192,162.0756305,2508700000,2601500000,2554400000,1267900000,868546000,1228200000,2016500000,2785600000,2217300000,1737800000,1138200000,1130800000,520600000,900300000,1054500000,1528700000,2047900000,2471900000,2728800000,3046723638,2622348662,6512007352,12285002846,16093000000,16093000000,0.182028603,0.169080085,0.181774191,0.079122594,0.054605876,0.07524306,0.113262973,0.145336158,0.114072725,0.099321019,0.071264886,0.066268555,0.030030654,0.049170927,0.055183421,0.076243248,0.093464043,0.106603932,0.113069768,0.119922129,0.100398136,0.258838203,0.432765572,0.525177039,0.444042823,14.60063562,17.42184555,18.1816888,4.20702674,1.184102025,5.737819409,16.25757567,29.41465883,19.23810038,4.53308605,2.650988642,7.024537181,7.958757748,14.29930201,16.48029724,26.05387451,33.86450247,36.33991297,38.666167,40.33470622,35.55702283,62.22137086,67.37837224,64.22608752,54.30384637,551300000,734400000,700000000,184700000,51600000,256600000,793000000,1544600000,1024500000,217300000,116000000,328400000,378000000,717300000,862800000,1431200000,2032900000,2308600000,2556604004,2807500000,2544469869,4288774541,5240228297,5392000000,5392000000,0.040001741,0.047731084,0.049812846,0.011526101,0.003244115,0.015720053,0.044541303,0.080588106,0.052707124,0.012419414,0.007262983,0.019245307,0.021804816,0.03917617,0.045151499,0.071380478,0.092779459,0.099561405,0.105934704,0.110506044,0.097416501,0.170469509,0.18459828,0.175961884,0.148777661
