State,Abbrev,TaxType,TopRate,TaxType_str,TaxType_str_short,fill_color,label_color
Alabama,AL,2,5.00%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Alaska,AK,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
Arizona,AZ,1,2.50%,Flat state income tax rate,Flat income tax rate,red,black
Arkansas,AR,3,3.90%,Progressive state income tax rates,Progressive income tax rates,blue,white
California,CA,3,13.30%,Progressive state income tax rates,Progressive income tax rates,blue,white
Colorado,CO,1,4.40%,Flat state income tax rate,Flat income tax rate,red,black
Connecticut,CT,3,6.99%,Progressive state income tax rates,Progressive income tax rates,blue,white
Delaware,DE,3,6.60%,Progressive state income tax rates,Progressive income tax rates,blue,white
District of Columbia,DC,3,10.75%,Progressive state income tax rates,Progressive income tax rates,blue,white
Florida,FL,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
Georgia,GA,1,5.49%,Flat state income tax rate,Flat income tax rate,red,black
Hawaii,HI,3,11.00%,Progressive state income tax rates,Progressive income tax rates,blue,white
Idaho,ID,2,5.695%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Illinois,IL,1,4.95%,Flat state income tax rate,Flat income tax rate,red,black
Indiana,IN,1,3.05%,Flat state income tax rate,Flat income tax rate,red,black
Iowa,IA,2,5.70%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Kansas,KS,3,5.70%,Progressive state income tax rates,Progressive income tax rates,blue,white
Kentucky,KY,1,4.00%,Flat state income tax rate,Flat income tax rate,red,black
Louisiana,LA,3,4.25%,Progressive state income tax rates,Progressive income tax rates,blue,white
Maine,ME,3,7.15%,Progressive state income tax rates,Progressive income tax rates,blue,white
Maryland,MD,3,5.75%,Progressive state income tax rates,Progressive income tax rates,blue,white
Massachusetts,MA,3,9.00%,Progressive state income tax rates,Progressive income tax rates,blue,white
Michigan,MI,1,4.25%,Flat state income tax rate,Flat income tax rate,red,black
Minnesota,MN,3,9.85%,Progressive state income tax rates,Progressive income tax rates,blue,white
Mississippi,MS,2,4.70%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Missouri,MO,2,4.80%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Montana,MT,3,5.90%,Progressive state income tax rates,Progressive income tax rates,blue,white
Nebraska,NE,3,5.84%,Progressive state income tax rates,Progressive income tax rates,blue,white
Nevada,NV,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
New Hampshire,NH,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
New Jersey,NJ,3,10.75%,Progressive state income tax rates,Progressive income tax rates,blue,white
New Mexico,NM,3,5.90%,Progressive state income tax rates,Progressive income tax rates,blue,white
New York,NY,3,10.90%,Progressive state income tax rates,Progressive income tax rates,blue,white
North Carolina,NC,1,4.5%,Flat state income tax rate,Flat income tax rate,red,black
North Dakota,ND,3,2.50%,Progressive state income tax rates,Progressive income tax rates,blue,white
Ohio,OH,3,3.50%,Progressive state income tax rates,Progressive income tax rates,blue,white
Oklahoma,OK,2,4.75%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Oregon,OR,3,9.90%,Progressive state income tax rates,Progressive income tax rates,blue,white
Pennsylvania,PA,1,3.07%,Flat state income tax rate,Flat income tax rate,red,black
Rhode Island,RI,3,5.99%,Progressive state income tax rates,Progressive income tax rates,blue,white
South Carolina,SC,3,6.20%,Progressive state income tax rates,Progressive income tax rates,blue,white
South Dakota,SD,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
Tennessee,TN,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
Texas,TX,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
Utah,UT,1,4.65%,Flat state income tax rate,Flat income tax rate,red,black
Vermont,VT,3,8.75%,Progressive state income tax rates,Progressive income tax rates,blue,white
Virginia,VA,2,5.75%,Nearly flat state income tax rates,Nearly flat income tax rates,purple,black
Washington,WA,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
West Virginia,WV,3,5.12%,Progressive state income tax rates,Progressive income tax rates,blue,white
Wisconsin,WI,3,7.65%,Progressive state income tax rates,Progressive income tax rates,blue,white
Wyoming,WY,0,0.00%,No state labor income tax,No income tax,#D8D3D3,black
