state_str,state_abbrev,popestimate2022,domesticmig2023,domesticmig_pctchg2023,netdomesticmig_rank,uhaul2023_rank,uhaul2022_rank,uvl_pct_inbnd_2023,uvl2023_rank
South Carolina,SC,5282955,82562,0.015627996074166824,1,4,3,63.2,3
Delaware,DE,1019459,10320,0.010123016227234249,2,15,27,58.2,12
North Carolina,NC,10695965,97264,0.009093522650831411,3,3,4,60.1,5
Tennessee,TN,7048976,63417,0.00899662589289565,4,5,6,55.3,14
Florida,FL,22245521,194438,0.008740546018229918,5,2,2,56.9,13
Montana,MT,1122878,9485,0.008447044113429954,6,21,18,46.4,38
Idaho,ID,1938996,15389,0.007936581612339582,7,6,10,52.7,21
Maine,ME,1389338,9216,0.006633375031849701,8,31,29,49.8,26
Texas,TX,30029848,186767,0.00621937879938653,9,1,1,52.7,20
Alabama,AL,5073903,30744,0.006059240785643715,10,22,20,59.7,8
Arkansas,AR,3046404,18106,0.005943400809610281,11,17,43,60.2,4
Oklahoma,OK,4019271,23587,0.005868477144238346,12,41,42,47.7,34
Georgia,GA,10913150,58206,0.0053335654691816755,13,18,8,53.0,19
South Dakota,SD,909869,4812,0.005288673424416042,14,19,31,59.8,7
Arizona,AZ,7365684,36179,0.004911831677818381,15,8,7,53.7,18
Wyoming,WY,581629,2016,0.003466127032868031,16,14,33,45.8,40
New Hampshire,NH,1399003,4298,0.003072187836623653,17,40,38,54.1,17
Nevada,NV,3177421,8642,0.002719815850653722,18,11,13,50.1,25
West Virginia,WV,1774035,3595,0.0020264538185548763,19,30,25,58.3,10
Kentucky,KY,4511563,8965,0.0019871162167080453,20,29,26,47.6,35
Missouri,MO,6177168,11171,0.0018084338972163296,21,28,15,50.9,23
Vermont,VT,647110,844,0.0013042604812164855,22,12,30,65.5,1
Colorado,CO,5841039,7236,0.0012388206961124553,23,9,11,48.7,29
Wisconsin,WI,5890543,5648,0.0009588250183387168,24,26,16,49.5,27
Indiana,IN,6832274,4599,0.0006731287416166272,25,27,14,54.2,16
Utah,UT,3381236,1338,0.0003957132835448339,26,13,12,50.2,24
Ohio,OH,11759697,637,5.416806232337449e-05,27,23,9,49.0,28
North Dakota,ND,778912,-9,-1.1554578694383962e-05,28,32,37,39.3,47
Nebraska,NE,1968060,-834,-0.00042376756806194934,29,35,32,46.8,37
New Mexico,NM,2113476,-1088,-0.0005147917459199915,30,16,19,59.6,9
Virginia,VA,8679099,-6985,-0.0008048070427587011,31,10,5,54.2,15
Minnesota,MN,5714300,-4686,-0.0008200479498801253,32,20,17,48.6,30
Mississippi,MS,2938928,-2614,-0.0008894399590599021,33,39,34,47.9,32
Iowa,IA,3199693,-3603,-0.0011260455299930336,34,24,21,52.2,22
Oregon,OR,4239379,-6051,-0.0014273316917407007,35,37,22,58.2,11
Michigan,MI,10033281,-15051,-0.0015001074922550261,36,46,48,41.6,45
Kansas,KS,2936716,-4574,-0.0015575220756790919,37,33,39,45.0,42
Pennsylvania,PA,12972091,-24825,-0.0019137238553136884,38,38,24,46.0,39
Washington,WA,7784477,-15276,-0.0019623669001783933,39,7,23,47.8,33
District of Columbia,DC,670949,-1509,-0.0022490532067265916,40,,,63.3,2
Connecticut,CT,3608706,-9016,-0.0024984024744603745,41,42,28,46.9,36
Rhode Island,RI,1093842,-3224,-0.002947409223635589,42,36,40,60.1,6
New Jersey,NJ,9260817,-44666,-0.004823116578159357,43,47,45,35.1,49
Maryland,MD,6163981,-30905,-0.005013805201541017,44,44,44,48.0,31
Massachusetts,MA,6982740,-39149,-0.005606538407559211,45,49,47,43.4,43
Louisiana,LA,4588023,-29692,-0.006471632770803459,46,45,35,45.2,41
Illinois,IL,12582515,-83839,-0.006663135311183814,47,48,49,38.7,48
Alaska,AK,733276,-5543,-0.007559227357775244,48,34,41,,
Hawaii,HI,1439399,-11193,-0.007776162134335233,49,25,,,
California,CA,39040616,-338371,-0.008667153202705613,50,50,50,42.5,44
New York,NY,19673200,-216778,-0.01101894963706972,51,43,46,40.0,46
